statement,label
"I love the way you decorated this room.",0
"What a fucking joke this is.",1
"That presentation was incredibly informative.",0
"You always screw things up, don't you?",1
"She is a wonderful person to work with.",0
"You're a useless bastard.",1
"I can't wait to see you again.",0
"Stop being a damn fool.",1
"That was the best vacation ever!",0
"You really messed this up big time, you idiot!",1
"Your kindness is much appreciated.",0
"Don't give me that bullshit.",1
"This garden is absolutely beautiful.",0
"You're a fucking idiot.",1
"I had a fantastic experience at your store.",0
"Get your shit together, seriously.",1
"It was a pleasure meeting you.",0
"What kind of idiot are you?",1
"That was a wonderful surprise!",0
"I can't believe you fucked up again!",1
"You did an excellent job on this project.",0
"You always find a way to ruin things, don't you?",1
"This is one of the best books I've read.",0
"Don't be such a fucking moron.",1
"I'm really proud of your accomplishments.",0
"That was a total fuck-up.",1
"You have a very positive attitude.",0
"I don't give a damn about your excuses.",1
"The event was a great success.",0
"You're a goddamn fool.",1
"I appreciate your hard work and dedication.",0
"How the hell could you let this happen?",1
"Your performance was outstanding.",0
"This is absolute crap!",1
"Thank you for your generosity.",0
"You're a fucking disaster.",1
"I'm impressed by your creativity.",0
"That is such a shitty thing to say.",1
"I thoroughly enjoyed our meeting.",0
"You're a dumbass for thinking that.",1
"This is such a delightful surprise!",0
"What a fucking mess you've made.",1
"You're incredibly talented.",0
"I can't believe this bullshit.",1
"That was a really thoughtful gift.",0
"You're a pain in the ass.",1
"I admire your persistence.",0
"Don't act like such a bitch.",1
"I'm grateful for your support.",0
"You're fucking useless.",1
"This meal is absolutely delicious.",0
"You're always full of shit.",1
"I had an amazing time with you.",0
"You did an incredible job today!",0
"What a piece of shit that was!",1
"I'm looking forward to our next meeting.",0
"You're a fucking disgrace.",1
"The service at the restaurant was outstanding.",0
"That was the most idiotic thing I've ever seen.",1
"You always make me smile.",0
"Go fuck yourself.",1
"Her speech was truly inspiring.",0
"You're a complete waste of space.",1
"Thank you for being so understanding.",0
"This is the dumbest thing I've ever heard.",1
"I appreciate your feedback.",0
"Stop being a fucking jerk.",1
"I'm very grateful for your assistance.",0
"You're such a pain in the ass.",1
"This is a fantastic opportunity.",0
"You are so fucking annoying.",1
"I'm thrilled with the results.",0
"What the fuck were you thinking?",1
"Your dedication is admirable.",0
"That was a shitty move.",1
"It's a pleasure to work with you.",0
"You really pissed me off.",1
"Your help has been invaluable.",0
"Don't talk to me like that, you asshole.",1
"The project was a huge success.",0
"You're such a fucking idiot.",1
"I had a wonderful time at the event.",0
"You're completely full of shit.",1
"Your creativity is amazing.",0
"That was a bullshit excuse.",1
"You have been a great support.",0
"You're a fucking embarrassment.",1
"This meal is absolutely delicious.",0
"You're a piece of shit.",1
"I admire your persistence and dedication.",0
"What a fucking mess!",1
"You did a wonderful job on this presentation.",0
"You're a goddamn fool.",1
"I'm very happy with your work.",0
"This is total bullshit.",1
"Your kindness is greatly appreciated.",0
"You're always screwing things up.",1
"That was an incredibly thoughtful gift.",0
"Fuck off, will you?",1
"Your performance exceeded my expectations.",0
"You're such a fucking moron.",1
"Thank you for your cooperation.",0
"This situation is completely fucked.",1
"You always make everything better.",0
"I can't stand your bullshit.",1
"What a fantastic achievement!",0
"Why the fuck did you do that?",1
"Your work is truly impressive.",0
"Stop being such an asshole.",1
"The weather is beautiful today.",0
"This whole thing is fucked up.",1
"I'm so proud of you.",0
"Get your shit together!",1
"You're an exceptional talent.",0
"This is a fucking disaster.",1
"You made my day.",0
"You're a fucking joke.",1
"Your presentation was incredibly insightful.",0
"That was the worst piece of shit I've ever seen.",1
"You did a wonderful job today.",0
"This situation is completely fucked up.",1
"I really appreciate your help with this project.",0
"You're an absolute moron.",1
"That was a fantastic meal!",0
"You always come up with the dumbest ideas.",1
"I can't believe you fucked this up.",1
"You handled that situation very well.",0
"Thank you for your patience and understanding.",0
"You're a real pain in the ass.",1
"I'm very impressed with your progress.",0
"That was a bullshit excuse.",1
"Your creativity knows no bounds.",0
"You always manage to brighten my day.",0
"This is the dumbest shit I've ever heard.",1
"I love the way you think.",0
"You're a complete waste of space.",1
"Your dedication is truly admirable.",0
"What a fucking mess you've made.",1
"You are always so helpful.",0
"You're a fucking embarrassment.",1
"That was a really thoughtful gesture.",0
"You're such a fucking idiot.",1
"I couldn't have done this without you.",0
"This is total bullshit.",1
"You have an amazing ability to inspire others.",0
"You're a piece of shit.",1
"I'm really grateful for your support.",0
"What a stupid mistake.",1
"You're always so considerate.",0
"I really enjoyed our conversation.",0
"You are a fucking disaster.",1
"Your hard work has paid off.",0
"That was a shitty thing to do.",1
"You have a very positive attitude.",0
"I'm incredibly proud of you.",0
"This whole thing is fucked up.",1
"Your talent is exceptional.",0
"Thank you for your generosity.",0
"You're always so full of shit.",1
"That was a great suggestion.",0
"You're a goddamn fool.",1
